Coin1; Coin2; priceval
BTC; ETH; ask; divide
ETH; BTC; bid; multiply
BTC; ETC; ask; divide
ETC; BTC; bid; multiply
BTC; LTC; ask; divide
LTC; BTC; bid; multiply
ETH; ETC; ask; divide
ETC; ETH; bid; multiply
ETH; LTC; ask; divide
LTC; ETH; bid; multiply
BTC; DASH; ask; divide
DASH; BTC; bid; multiply
ETH; DASH; ask; divide
DASH; ETH; bid; multiply
BTC; ADA; ask; divide
ADA; BTC; bid; multiply
ETH; ADA; ask; divide
ADA; ETH; bid; multiply
ETH; DGB; ask; divide
DGB; ETH; bid; multiply
BTC; DGB; ask; divide
DGB; BTC; bid; multiply
ETH; BCH; ask; divide
BCH; ETH; bid; multiply
BTC; BCH; ask; divide
BCH; BTC; bid; multiply
